
CH2O	C=O
HCO	[CH]=O
HOCHO	O=CO
CH3O2	CO[O]
C2H2	C#C
CH2CO	C=C=O
HCCO	C#C[O]
C2H5O	CC[O]
C4H10	CCCC
CH3CHO	CC=O
C2H5OH	CCO
C3H6	C=CC
CH3CHCO	CC=C=O
SC2H4OH	C[CH]O
C2H5O2H	CCOO
CH3O	C[O]
CH3O2H	COO
HOCH2O	[O]CO
PC4H9	[CH2]CCC
PC2H4OH	[CH2]CO
CH2O2H	[CH2]OO
C2H5CHO	CCC=O
C2H	[C]#C
CH2OH	[CH2]O
HCCOH	C#CO
CH3OCH2	[CH2]OC
CH3OCH3	COC
CH3OCHO	COC=O
HOCH2O2H	OCOO
NC5H12	CCCCC
NC6H14	CCCCCC

C4H8-1	C=CCC
SC4H9	C[CH]CC
CH3OCH2O	COC[O]
C2H3	[CH]=C
OCHO	[O]C=O
CH2(S)	singlet[CH2]
CH2	triplet[CH2]

C4H8-2	CC=CC
O2CHO	[O]OC=O
CH3OCH2O2	COCO[O]
IC4H9	[CH2]C(C)C
IC4H10	CC(C)C
IC4H8	C=C(C)C
IC4H9O2	CC(C)CO[O]
HO2CHO	O=COO
TC4H9	C[C](C)C
IC3H7	C[CH]C
CH3OCH2O2H	COCOO
O2C2H4OH	[O]OCCO
SC4H9O2	CCC(C)O[O]
PC4H9O2	CCCCO[O]
CH3COCH3	CC(C)=O
C4H6	C=CC=C
NC3H7	[CH2]CC
CH3CO	C[C]=O
NC7H16	CCCCCCC
C4H71-3	C=C[CH]C
C2H5CO	CC[C]=O
C2H5O2	CCO[O]
CH3OCO	CO[C]=O
C5H91-1	[CH]=CCCC
CH3CO3	CC(=O)O[O]
CH3COCH2	[CH2]C(C)=O
IC4H9O2H	CC(C)COO
IC3H7CHO	CC(C)C=O
SC4H8OH	C[CH]C(C)O
PC4H9O2H	CCCCOO
C3H3	C#C[CH2]
SC4H9O2H	CCC(C)OO
C3H4-A	C=C=C
C3H5-A	[CH2]C=C
CH2CHO	[CH2]C=O
CH2CH2CHO	[CH2]CC=O
C3H6OOH2-2	C[C](C)OO
C4H8OOH2-3	C[CH]C(C)OO
CH2OCHO	[CH2]OC=O
C2H5COC2H4P	[CH2]CC(=O)CC
CH3CO3H	CC(=O)OO
C3H5-S	[CH]=CC
C3H5-T	C=[C]C
NC3H7O2H	CCCOO
CH3CO2	CC([O])=O
IC3H7O2H	CC(C)OO
NC3H7O2	CCCO[O]
IC3H7O2	CC(C)O[O]
CH3COCH2O2	CC(=O)CO[O]
C2H3CHO	C=CC=O
C3H2	[CH]=C=[CH]
IC4H9O	CC(C)C[O]
C7H15-2	C[CH]CCCCC
C7H15-3	CC[CH]CCCC
C7H15-1	[CH2]CCCCCC
C7H15-4	CCC[CH]CCC
C5H11-1	[CH2]CCCC
C6H13-1	[CH2]CCCCC
C6H13-3	CC[CH]CCC
C6H13-2	C[CH]CCCC
C5H11-2	C[CH]CCC
C5H11-3	CC[CH]CC
C7H133-1	[CH2]CC=CCCC
PC4H9O	CCCC[O]
OCH2O2H	[O]COO
C2H4O2H	[CH2]COO
C7H14-2	CC=CCCCC
C4H71-4	[CH2]CC=C
IC3H7CO	CC(C)[C]=O
IC3H6CHO	[CH2]C(C)C=O
IC4H7	[CH2]C(=C)C
TC3H6CHO	C[C](C)C=O
C2H4O2H	[CH2]COO
C7H14-1	C=CCCCCC
C5H10-1	C=CCCC
C4H71-1	[CH]=CCC
